"V1","V2","V3","Class"
0,131,99,1
7,279,84,1
3,84,310,1
250,78,313,1
237,100,341,1
1,120,89,1
260,295,192,1
29,41,300,0
306,54,241,1
52,32,244,1
210,107,88,1
330,155,3,1
279,22,282,1
24,249,329,1
116,87,318,1
282,92,77,1
214,276,113,0
320,194,273,1
127,256,267,1
230,129,222,1
53,338,299,0
277,48,334,1
117,194,178,1
113,196,309,0
2,339,34,1
6,154,312,1
5,1,87,1
255,145,41,1
305,42,103,0
346,89,189,1
11,273,247,1
211,73,36,0
168,79,328,1
14,126,48,1
257,237,17,0
247,121,229,0
149,137,42,1
342,102,173,1
219,300,1,1
217,83,206,1
281,52,243,1
335,285,303,1
318,268,174,1
91,67,278,1
298,161,302,1
96,62,8,1
23,286,316,0
47,150,270,1
140,203,251,0
268,171,340,0
313,141,171,1
307,143,297,0
9,291,216,0
238,269,288,1
79,216,250,1
246,28,170,1
77,208,255,1
229,114,187,1
20,122,265,1
275,31,186,1
133,76,122,0
131,294,199,0
263,231,30,0
13,165,342,0
45,63,335,0
106,331,25,0
256,283,324,0
349,75,149,0
82,178,212,0
8,191,126,0
4,147,13,0
68,292,322,1
38,192,184,1
105,24,272,1
273,228,277,1
142,218,304,1
240,158,263,1
32,157,219,1
232,245,7,1
176,19,93,1
27,225,268,1
90,134,27,0
172,206,129,0
337,119,45,1
317,172,44,1
327,12,156,0
203,30,193,1
228,13,237,0
243,169,260,1
123,187,50,0
167,342,292,1
303,341,207,1
152,18,43,1
331,23,56,1
193,322,231,0
108,343,169,1
16,58,106,1
204,175,166,1
340,115,29,1
301,323,266,1
252,108,145,1
184,308,336,0
177,98,331,1
103,335,176,0
225,81,315,1
302,148,185,1
289,296,319,1
288,53,327,1
295,133,209,0
231,174,23,0
35,234,59,1
254,190,91,1
74,329,214,0
276,199,252,1
222,162,85,1
251,307,5,0
202,9,141,0
261,91,22,0
266,328,125,0
134,186,142,0
323,82,208,0
319,324,257,0
205,177,194,1
278,334,19,0
88,320,253,1
40,3,72,0
98,10,156,0
34,156,326,0
19,278,55,1
329,44,132,1
66,16,38,0
92,309,157,0
223,306,130,0
241,104,239,0
162,160,347,0
156,185,28,0
165,182,53,1
26,40,246,1
239,144,295,1
271,314,183,0
94,167,275,1
151,197,245,1
258,11,321,1
12,235,26,1
274,258,33,1
69,188,110,0
54,201,70,1
181,173,49,1
347,130,65,1
180,57,40,1
111,311,153,0
221,95,143,1
244,95,290,1
332,166,280,1
343,210,325,1
173,211,226,1
265,86,177,1
102,105,64,1
341,330,348,0
137,327,346,0
136,88,32,1
207,220,123,1
227,277,311,1
114,17,104,0
245,312,11,0
130,310,179,0
264,281,317,1
150,197,254,1
309,293,269,1
226,68,204,0
119,116,188,1
348,125,261,1
138,195,66,1
112,65,276,1
218,69,190,1
146,64,283,1
17,117,281,1
10,99,293,1
43,275,165,1
175,51,168,1
242,176,211,0
267,164,162,1
157,261,151,0
97,90,200,0
191,50,150,0
25,142,127,0
199,246,314,0
28,265,112,0
259,198,54,0
194,6,274,1
51,33,75,1
50,55,197,0
333,260,160,1
187,4,94,0
95,56,218,0
110,227,147,0
49,152,227,0
33,215,338,0
328,240,148,0
262,47,191,1
338,297,279,1
287,287,296,0
163,71,294,1
215,344,62,0
15,325,205,0
21,264,20,0
189,96,235,0
153,304,175,0
104,111,154,0
85,302,96,0
101,189,164,1
216,207,332,1
293,262,181,0
84,35,203,0
148,316,182,0
39,149,78,1
224,8,137,0
209,217,12,0
170,34,69,0
345,336,233,0
200,136,121,1
186,280,76,0
292,5,124,0
81,61,37,1
139,229,323,0
300,318,242,0
63,118,52,0
325,239,139,0
280,193,133,0
322,332,224,0
192,303,6,0
272,0,0,1
132,168,259,0
72,77,131,0
185,14,225,0
321,127,152,0
324,270,337,0
248,305,298,0
326,140,21,0
183,139,39,0
93,97,58,0
41,282,159,0
314,247,196,0
171,313,343,0
61,36,339,0
196,236,107,0
48,259,172,0
147,113,128,1
179,124,232,0
46,248,140,0
67,128,344,0
57,219,18,0
294,184,215,0
195,204,100,0
122,222,97,0
144,93,234,0
166,60,86,1
60,20,180,0
197,301,31,0
212,241,81,1
198,267,79,0
297,257,330,1
235,66,195,0
30,284,135,0
201,224,120,0
308,101,24,0
107,138,158,0
58,45,220,0
161,59,289,1
213,326,10,0
220,70,202,0
286,298,67,0
65,26,98,0
236,242,51,1
124,85,240,0
145,333,223,0
169,135,236,0
143,163,90,1
270,266,213,0
339,106,114,0
86,244,144,0
37,7,258,0
59,238,228,0
128,226,136,0
76,232,9,0
249,321,117,0
120,233,60,0
315,289,115,1
182,103,301,1
125,319,238,0
164,252,14,0
31,170,16,0
135,74,92,1
269,317,116,1
62,337,249,1
253,205,15,0
22,315,118,1
311,181,167,1
109,37,285,1
118,153,101,1
234,299,63,1
159,221,262,1
87,38,287,1
55,80,305,1
334,159,2,0
344,251,320,1
178,250,146,0
18,183,71,1
64,72,307,0
99,112,35,1
100,209,105,0
126,164,161,1
129,214,108,0
284,146,83,1
36,253,210,0
83,2,155,1
89,29,308,0
73,274,46,1
42,274,47,1
56,263,345,1
44,271,119,0
285,180,221,0
310,132,109,0
336,200,134,1
206,123,74,0
78,213,264,1
154,27,111,0
141,288,284,1
283,272,73,0
208,230,61,1
115,46,306,0
299,109,80,1
155,223,201,0
190,340,138,1
75,25,57,0
290,243,82,1
174,255,217,0
312,254,291,1
121,179,286,1
160,94,271,1
71,21,163,1
291,15,68,1
158,43,230,0
296,151,4,0
70,110,248,0
304,49,95,0
233,290,102,0
188,39,333,1
80,202,256,1
316,212,198,0
