"V1","V2","V3","Class"
405,68,15,0
25,94,332,0
389,168,102,1
397,59,180,0
155,228,186,0
375,45,198,0
358,45,177,0
19,10,224,0
298,111,27,0
339,272,333,0
199,206,120,0
165,405,4,0
382,13,123,0
130,12,2,0
37,8,33,0
170,361,316,0
150,330,334,0
293,277,178,0
425,239,229,0
141,112,321,0
192,411,142,0
32,125,282,0
66,183,5,0
435,178,253,0
283,390,220,0
334,397,167,0
241,296,124,0
391,44,143,0
168,140,210,0
422,234,133,0
288,234,219,0
234,364,181,0
5,230,138,0
417,86,225,0
174,331,132,0
297,370,183,0
356,370,201,0
124,349,21,0
237,41,185,0
166,345,36,0
410,64,140,0
180,174,109,0
430,98,320,0
84,185,171,0
167,115,309,0
388,300,157,0
93,7,318,0
312,204,159,0
292,145,72,1
267,295,233,0
221,395,237,0
46,203,20,0
222,219,302,0
28,350,262,0
134,402,300,0
270,149,90,0
378,315,72,1
146,148,63,1
7,270,190,0
122,372,255,0
304,200,279,0
355,353,157,0
55,353,157,0
172,409,235,0
413,23,319,0
284,107,293,0
100,195,30,0
162,97,153,0
209,378,79,0
316,70,191,0
16,359,3,0
337,60,278,0
156,46,105,0
429,171,176,0
175,109,81,0
314,235,72,1
197,351,9,0
8,20,260,0
39,90,249,0
12,160,244,0
434,35,246,0
51,102,234,0
332,259,248,0
291,339,317,0
235,261,171,0
385,318,6,0
193,371,297,0
112,322,152,0
41,177,226,0
109,352,136,0
187,360,269,1
145,242,146,0
392,288,211,1
287,382,296,0
121,293,24,0
123,144,72,1
373,291,169,0
379,63,125,0
333,253,202,0
313,401,8,0
256,391,112,0
76,396,280,0
58,54,106,0
186,105,23,0
139,310,221,0
21,298,1,0
398,134,283,0
4,202,158,0
10,55,120,0
407,66,127,1
427,66,218,0
52,179,32,0
137,212,107,0
325,283,35,0
111,207,264,0
164,0,117,0
272,269,29,0
400,30,247,0
236,172,80,0
278,129,187,0
347,278,299,0
421,216,323,0
351,24,94,1
49,82,301,1
135,389,223,0
251,275,12,0
196,88,228,1
377,194,212,0
45,194,192,0
414,194,28,0
394,196,163,0
231,292,121,0
226,217,165,0
57,79,139,0
233,74,243,0
6,142,115,0
179,39,335,0
36,190,82,0
30,398,122,0
395,340,161,0
59,37,61,1
17,130,162,0
131,78,215,0
219,346,214,1
319,101,263,0
183,161,251,0
301,344,173,0
331,237,266,0
138,237,266,0
90,73,227,1
253,287,87,0
294,123,261,0
317,95,331,0
255,356,156,0
360,15,131,0
232,110,199,0
289,48,10,0
271,154,298,0
190,388,118,0
437,17,250,0
261,399,26,0
152,197,284,1
48,51,88,0
264,103,144,0
269,40,330,0
387,337,327,0
91,81,184,0
108,61,268,0
258,354,324,0
89,302,72,1
372,335,108,0
315,180,230,0
262,213,119,0
204,155,137,0
431,92,110,0
370,286,194,1
212,262,182,0
115,50,31,0
188,289,303,0
203,342,240,0
342,223,34,0
412,218,213,1
344,324,276,0
365,184,145,0
114,89,129,0
220,220,11,0
228,407,130,0
428,400,72,1
282,58,242,0
34,417,200,0
92,199,258,0
13,166,222,0
393,319,252,0
81,72,126,0
158,14,238,0
238,91,285,0
210,316,22,0
185,332,308,0
191,231,116,0
202,31,91,0
54,244,13,0
198,227,290,0
296,173,307,0
207,267,291,0
161,412,271,0
322,280,84,1
268,215,72,1
366,2,52,1
359,384,72,1
153,43,306,1
362,19,310,1
336,27,256,1
254,150,92,1
361,104,128,1
98,32,49,1
436,62,59,1
177,341,72,1
424,406,245,1
38,255,77,1
248,233,193,1
411,357,72,1
119,249,72,1
343,226,111,1
419,187,179,1
127,373,72,1
117,274,114,1
189,156,72,1
88,214,52,1
125,211,72,1
102,152,72,1
80,22,72,1
