"V1","V2","V3","Class"
278,199,11,1
322,343,153,0
425,10,369,1
301,77,83,0
433,156,125,1
335,87,280,0
319,348,116,1
297,79,27,0
228,225,35,1
331,168,97,0
412,219,130,1
375,331,352,0
391,286,30,1
328,307,258,0
401,35,257,0
385,194,25,1
242,264,253,1
373,279,69,1
309,276,234,0
378,363,73,1
403,241,263,0
419,144,364,1
225,147,171,0
312,82,224,0
434,212,179,1
255,72,81,1
381,165,73,1
366,134,119,1
244,186,284,0
389,213,235,0
299,289,77,1
264,182,86,0
192,97,371,0
284,45,73,1
204,183,79,1
333,245,79,1
214,378,222,0
277,239,111,0
413,216,72,1
422,357,71,1
232,46,183,1
223,345,79,1
361,361,80,1
383,84,46,1
211,130,73,1
213,65,178,1
258,374,211,0
323,248,120,0
271,318,373,1
338,184,79,1
295,73,37,1
441,203,392,0
265,57,79,1
288,52,272,0
318,274,94,0
248,50,251,1
343,151,79,1
342,174,78,1
59,384,252,1
41,75,3,1
351,240,192,0
220,312,79,1
33,238,261,1
46,3,70,1
345,202,79,1
348,224,337,0
316,339,18,0
359,160,150,0
58,380,61,1
166,16,338,1
27,255,372,1
199,280,79,1
38,116,113,1
48,306,41,1
353,17,207,0
233,71,233,0
124,218,365,1
215,250,184,0
370,287,401,0
423,261,390,0
421,112,167,0
152,218,365,1
430,192,410,0
410,43,347,0
337,293,79,1
138,302,279,1
392,157,391,0
263,78,370,0
119,387,106,1
145,85,58,1
188,85,58,1
234,14,248,0
129,163,408,1
224,38,174,0
405,188,16,0
14,76,134,1
352,313,8,0
336,297,332,0
411,114,259,0
268,19,189,0
254,15,210,0
252,181,105,0
54,159,307,1
364,120,212,0
414,322,75,1
37,2,403,1
221,349,315,0
92,368,6,1
79,265,91,1
102,215,60,1
9,7,0,1
116,7,0,1
340,259,185,0
415,96,34,0
103,68,85,1
154,85,58,1
21,85,58,1
157,2,404,1
143,31,405,1
178,305,271,1
189,16,23,1
281,106,191,0
93,55,121,1
8,25,199,1
55,85,58,1
445,310,158,0
349,64,205,0
396,149,15,0
432,211,13,0
4,148,286,1
200,260,394,0
159,191,285,1
293,311,243,0
134,148,289,1
369,277,194,0
181,148,290,1
52,191,287,1
303,205,96,0
282,319,395,0
372,391,123,0
275,290,363,0
11,191,288,1
78,375,240,1
160,375,400,1
259,1,76,1
394,353,309,0
198,251,368,0
186,117,221,1
314,22,79,1
357,150,74,1
435,376,327,0
130,162,296,1
330,389,141,0
141,162,297,1
395,69,79,1
194,366,157,0
183,352,399,1
437,103,213,0
399,74,20,0
0,4,229,1
28,321,254,1
239,67,268,0
291,131,112,0
69,91,292,1
49,91,294,1
306,171,14,0
424,304,380,0
76,105,1,1
382,304,377,0
321,123,375,0
404,185,149,0
436,359,331,0
380,206,193,0
207,59,275,0
270,92,164,0
122,91,293,1
261,140,166,0
332,252,278,0
150,4,228,1
406,341,308,0
32,91,295,1
147,154,291,1
91,128,319,1
202,23,161,0
23,330,282,1
62,229,262,1
42,124,406,1
367,382,366,0
307,317,98,0
98,118,330,1
210,337,102,0
85,258,299,1
171,258,300,1
245,101,336,0
125,258,298,1
18,48,357,1
398,95,359,0
283,42,267,0
219,381,17,0
311,335,314,0
329,47,154,0
325,314,277,0
386,365,180,0
358,360,388,0
100,283,409,1
40,326,160,1
216,6,236,0
428,99,335,0
20,308,118,1
289,271,79,1
280,49,103,0
212,109,175,0
170,268,245,1
409,49,155,0
179,388,383,1
294,371,379,0
89,350,43,1
12,285,318,1
86,201,303,1
104,201,304,1
75,201,301,1
168,201,302,1
191,226,52,0
431,344,276,0
101,234,63,1
287,300,360,0
96,210,402,1
153,222,132,1
262,30,247,0
2,180,325,1
105,288,66,1
217,178,354,0
397,263,56,0
161,13,110,1
346,173,203,0
218,333,217,0
73,301,231,1
300,249,79,1
127,0,122,1
50,334,115,1
169,66,140,1
15,102,355,1
83,141,57,1
317,217,79,1
97,326,160,1
25,220,87,1
128,177,48,1
371,303,308,0
292,347,22,0
250,256,53,0
174,90,249,1
81,236,329,1
285,383,173,0
31,116,241,1
251,33,396,0
68,170,67,1
29,355,64,1
117,246,348,1
110,169,4,1
17,223,407,1
334,257,220,0
376,111,108,0
142,326,160,1
132,369,137,1
72,34,281,1
196,198,79,1
112,137,10,1
315,338,170,0
308,113,129,0
185,390,260,1
180,233,136,1
347,53,90,0
427,62,349,0
71,356,65,1
149,32,104,1
260,193,266,0
167,85,58,1
388,187,273,0
10,315,311,1
63,153,51,1
350,209,36,0
118,51,82,1
163,342,374,1
163,342,374,1
120,5,322,1
87,132,201,1
203,249,79,1
66,232,196,1
310,235,316,0
43,358,190,1
165,179,50,1
94,246,341,1
304,329,376,0
272,296,114,0
408,176,39,0
175,110,238,1
320,227,7,0
208,197,148,0
61,21,384,1
298,104,200,0
279,29,265,0
363,12,204,0
341,207,126,0
113,21,356,1
237,190,100,0
113,21,356,1
47,152,44,1
140,346,324,1
35,189,326,1
429,269,169,0
114,281,334,1
420,20,79,1
60,98,135,1
407,28,92,0
144,98,138,1
65,25,139,1
384,145,187,0
257,243,246,0
121,58,128,1
172,246,344,1
107,204,346,1
276,386,350,0
6,129,159,1
19,367,320,1
439,115,38,0
5,5,305,1
402,26,26,1
44,204,358,1
324,139,202,0
266,253,274,0
74,377,142,1
418,262,32,0
438,262,28,0
235,262,117,0
135,200,227,1
173,354,225,1
39,327,152,1
156,5,306,1
77,93,47,1
327,372,156,0
26,61,9,1
444,167,33,0
136,196,145,1
115,8,181,1
339,267,162,0
123,175,255,1
374,125,269,0
184,54,133,1
70,325,328,1
106,94,146,1
133,295,109,1
354,332,144,0
379,11,186,0
313,278,107,0
88,126,88,1
67,281,143,1
182,291,49,1
362,121,168,0
176,204,346,1
290,63,206,0
241,195,29,0
286,36,182,0
190,164,31,1
195,119,55,0
80,89,147,1
139,39,230,1
273,364,95,0
274,237,226,0
197,385,397,0
356,298,195,0
240,351,353,0
377,107,218,0
131,44,398,1
57,244,59,1
355,27,389,0
137,273,333,1
236,275,79,1
24,316,219,1
126,247,250,1
164,228,393,1
22,204,346,1
227,60,209,0
64,196,198,1
53,133,127,1
111,231,12,1
269,166,188,0
400,336,367,0
193,83,382,0
108,204,346,1
238,56,101,0
51,172,45,1
390,138,339,0
247,208,310,0
267,142,177,0
155,70,5,1
1,370,387,1
187,98,151,1
246,158,54,0
253,221,93,0
95,340,270,1
387,299,411,0
56,172,340,1
209,127,312,0
34,172,42,1
82,204,342,1
229,136,313,0
360,37,176,0
109,204,343,1
256,146,208,0
393,135,163,0
3,309,214,1
205,143,24,0
90,292,62,1
