"V1","V2","V3","Class"
319,255,157,0
203,221,106,0
241,176,106,0
222,68,16,0
276,17,306,0
234,268,217,0
286,114,119,0
250,203,180,1
325,12,21,0
284,162,99,0
198,43,186,0
246,119,247,0
332,167,94,0
351,200,141,0
350,116,328,0
212,60,52,0
272,240,245,0
209,31,112,0
215,288,288,0
217,59,233,0
359,27,14,0
283,252,135,0
366,178,40,1
253,290,66,0
238,285,248,0
228,26,155,0
226,148,311,0
263,84,190,0
262,48,290,0
345,308,135,0
274,189,246,0
349,207,213,1
285,282,269,0
242,291,22,0
254,7,56,0
320,161,202,0
311,316,44,1
354,237,146,0
306,198,144,0
208,69,276,0
348,125,242,0
256,227,95,0
316,312,298,0
361,239,165,0
347,249,120,0
362,66,291,0
287,64,294,0
353,293,318,0
313,99,279,0
298,231,216,0
214,214,159,0
211,5,272,1
273,5,304,1
360,159,239,0
240,187,308,0
200,222,224,1
357,155,129,0
221,101,208,1
352,152,134,0
322,21,151,0
264,204,44,1
280,171,117,0
251,68,225,0
365,317,130,0
315,216,133,0
278,122,162,0
290,13,152,1
323,24,300,0
248,3,324,0
232,136,316,0
300,89,87,0
303,135,139,0
337,40,126,0
249,88,261,0
342,126,295,0
229,25,260,0
367,25,115,0
225,18,102,0
338,103,223,0
308,82,5,0
299,181,105,0
314,299,49,1
255,111,123,0
201,137,215,1
312,245,267,0
216,115,135,0
239,92,196,0
324,311,54,0
295,173,28,0
205,296,53,1
292,140,222,0
257,151,96,0
265,158,300,0
364,142,323,0
267,241,164,0
291,61,287,0
223,22,108,0
356,91,251,1
333,247,101,0
336,304,100,0
297,184,286,0
259,105,235,0
227,134,20,0
318,235,45,0
301,248,289,0
330,165,238,0
304,67,321,0
321,208,137,0
334,194,197,0
281,10,210,1
219,218,250,0
296,77,314,1
294,168,252,0
243,310,15,0
307,33,135,0
199,277,240,0
358,55,324,0
275,52,23,0
331,318,228,0
204,138,299,0
344,302,329,0
266,63,236,0
247,157,48,0
293,38,147,0
233,225,93,0
231,28,118,0
310,107,136,0
260,127,189,0
309,133,58,1
355,264,29,0
279,206,13,0
245,30,227,0
271,186,65,1
269,175,296,0
220,307,181,0
210,51,203,0
268,191,109,0
368,144,57,0
335,129,132,0
224,129,143,0
328,113,82,0
207,153,24,0
213,197,214,0
235,223,10,0
327,112,305,0
206,121,116,0
252,121,148,0
230,289,125,1
340,36,41,1
261,130,226,1
202,260,44,1
317,156,39,1
339,182,131,1
302,79,302,1
326,315,173,1
289,81,174,1
244,270,172,1
236,196,274,1
329,72,42,1
237,47,207,1
343,174,40,1
363,90,74,1
270,195,293,1
288,79,283,1
341,185,46,1
277,94,169,1
346,281,44,1
282,141,153,1
218,104,219,1
305,1,33,1
189,14,122,1
142,242,264,1
172,286,91,1
163,16,280,1
157,292,81,1
76,298,78,1
24,276,204,1
9,295,4,1
146,16,19,1
75,251,75,1
112,124,253,1
30,78,232,1
27,73,326,1
107,100,3,1
77,53,254,1
161,229,183,1
117,102,205,1
123,145,113,1
184,192,255,1
137,98,86,1
11,278,322,1
114,34,150,1
83,102,205,1
124,201,26,1
31,102,60,1
47,132,257,1
135,132,256,1
129,132,258,1
166,209,37,1
190,262,312,1
102,102,60,1
42,147,177,1
94,147,177,1
38,19,63,1
86,273,34,1
29,169,60,1
177,233,211,1
64,266,36,1
20,233,212,1
138,87,218,1
110,202,313,1
84,305,310,0
84,305,310,0
121,80,201,0
63,143,98,0
26,2,199,0
0,257,12,1
46,39,259,0
143,234,320,0
54,166,244,0
55,15,297,0
96,2,127,0
185,11,191,0
159,2,187,0
140,57,124,0
7,228,234,0
174,284,221,0
85,294,268,0
5,265,104,0
191,188,27,1
39,177,1,1
195,177,0,1
148,177,2,1
156,275,281,0
69,2,187,0
16,246,17,0
162,300,329,0
15,4,114,0
52,149,285,0
175,118,17,0
45,46,188,0
178,314,266,0
194,11,193,0
176,243,198,0
51,306,55,0
169,110,200,0
13,287,249,0
21,224,195,0
103,273,30,1
66,0,38,1
81,193,69,1
100,230,51,1
6,179,71,1
188,93,83,1
192,163,206,1
134,75,11,1
104,272,271,1
144,210,59,1
151,86,97,1
164,154,303,1
25,131,167,1
70,2,199,0
35,58,330,1
171,226,25,0
90,2,187,0
127,250,163,0
61,106,166,0
65,271,265,0
130,258,273,0
136,211,220,0
91,35,92,0
109,83,138,0
62,9,107,0
105,76,128,0
23,205,278,0
126,256,179,1
72,41,6,1
58,120,171,1
147,120,170,1
152,160,84,1
149,71,156,0
74,303,277,0
132,269,231,0
80,244,307,0
82,313,154,0
168,259,185,0
111,2,187,0
160,42,317,0
43,232,70,1
4,254,275,1
50,217,168,1
139,95,229,1
158,97,149,1
3,139,88,1
101,139,18,1
119,45,72,1
125,150,230,1
78,180,243,1
34,180,89,1
37,164,160,1
186,6,61,1
87,20,182,1
18,6,61,1
40,37,176,1
41,261,325,1
182,6,61,1
197,172,31,1
92,96,284,1
187,85,241,1
179,54,50,1
153,32,47,1
88,280,263,1
33,74,35,1
17,62,62,1
122,62,62,1
173,50,76,1
133,146,315,1
118,199,301,1
59,65,79,1
49,49,73,1
97,220,209,1
53,220,209,1
165,212,178,1
120,212,121,1
155,297,7,1
131,93,83,1
32,219,32,1
14,50,76,1
141,193,68,1
99,193,69,1
68,193,69,1
71,93,83,1
98,93,83,1
93,93,85,1
115,193,69,1
95,23,77,1
57,283,140,1
8,29,184,1
12,280,262,1
193,280,262,1
1,253,270,1
170,193,67,1
181,109,64,1
150,297,7,1
89,301,175,1
128,108,158,1
79,309,282,1
10,108,80,1
2,263,329,0
22,238,145,0
67,44,142,0
258,128,43,1
19,274,292,0
106,183,161,1
116,170,319,0
108,279,103,0
48,70,90,1
154,297,8,1
36,193,67,1
180,215,9,1
113,215,9,1
167,215,9,1
73,236,237,0
60,213,309,0
145,56,327,0
28,117,110,0
44,190,111,0
183,267,329,0
196,8,194,0
56,123,192,0
